,ITEM,BTOS (Heirarchy order),BTOS
534,844,1100,L
535,845,1100,L
536,846,1100,L
537,847,1100,L
538,848,1100,L
539,849,1100,L
540,850,1100,L
541,851,200,C
542,852,200,C
543,853,1100,L
544,854,1100,L
545,855,200,C
546,856,1100,L
547,857,200,C
548,858,200,C
549,859,1100,L
550,860,1100,L
551,861,200,C
552,862,1100,L
553,863,1100,L
554,864,200,C
555,865,1100,L
556,866,200,C
557,870,1100,L
558,871,200,C
559,872,200,C
560,874,1100,L
561,875,1100,L
562,877,1100,L
563,878,1100,L
564,879,1100,L
565,880,200,C
566,882,1100,L
567,883,1100,L
568,884,1100,L
569,886,1100,L
570,887,200,C
571,888,200,C
572,889,200,C
573,890,200,C
574,893,200,C
575,895,1100,L
576,897,1100,L
577,900,102,M
578,902,1100,L
579,903,102,M
580,904,1100,L
581,907,1100,L
582,908,1100,L
583,909,1100,L
584,910,600,G
585,911,600,G
586,912,1100,L
587,913,600,G
588,915,1100,L
589,916,1100,L
590,917,1100,L
591,918,1100,L
592,920,1100,L
593,921,1100,L
594,922,1100,L
595,923,1100,L
596,924,700,H
597,925,1100,L
598,926,1100,L
599,927,1100,L
600,928,1100,L
601,929,1100,L
602,931,1100,L
603,932,1100,L
604,934,1100,L
605,936,1100,L
606,938,1100,L
607,939,1100,L
608,940,1100,L
609,944,1100,L
610,947,1100,L
611,949,1100,L
612,950,1100,L
613,951,1100,L
614,952,1100,L
615,953,1100,L
616,954,1100,L
617,955,1100,L
618,956,1100,L
619,957,1100,L
620,958,1100,L
621,960,1100,L
622,963,1100,L
623,966,1100,L
624,968,1100,L
625,970,1100,L
626,974,1100,L
627,976,1100,L
628,977,1100,L
629,978,1100,L
630,979,1100,L
631,980,103,B
632,981,1100,L
633,982,1100,L
634,983,1100,L
635,984,1100,L
636,985,1100,L
637,987,1100,L
638,989,1100,L
639,990,600,G
640,991,600,G
641,992,600,G
642,993,600,G
643,994,1100,L
644,995,600,G
645,996,103,B
646,997,103,B
647,998,103,B
648,999,600,G
649,1001,502,F
650,1002,502,F
651,1003,502,F
652,1004,502,F
653,1005,502,F
654,1006,502,F
655,1007,502,F
656,1008,502,F
657,1009,502,F
658,1010,502,F
659,1011,502,F
660,1012,502,F
661,1013,502,F
662,1014,502,F
663,1015,502,F
664,1016,502,F
665,1017,502,F
666,1018,502,F
667,1019,502,F
668,1020,502,F
669,1021,502,F
670,1022,502,F
671,1023,502,F
672,1024,502,F
673,1025,502,F
674,1026,502,F
675,1027,502,F
676,1028,502,F
677,1029,502,F
678,1030,502,F
679,1032,502,F
680,1033,502,F
681,1034,502,F
682,1035,502,F
683,1036,502,F
684,1037,502,F
685,1038,502,F
686,1039,502,F
687,1040,502,F
688,1041,502,F
689,1042,502,F
690,1043,502,F
691,1044,502,F
692,1045,502,F
693,1046,502,F
694,1047,502,F
695,1048,502,F
696,1049,502,F
697,1050,502,F
698,1051,502,F
699,1052,502,F
700,1053,502,F
701,1054,502,F
702,1055,502,F
703,1056,502,F
704,1057,502,F
705,1058,502,F
706,1059,502,F
707,1060,502,F
708,1061,502,F
709,1062,502,F
710,1063,502,F
711,1064,502,F
712,1065,502,F
713,1066,502,F
714,1067,502,F
715,1068,502,F
716,1069,502,F
717,1070,502,F
718,1071,502,F
719,1072,502,F
720,1073,502,F
721,1074,502,F
722,1075,502,F
723,1076,502,F
724,1077,502,F
725,1078,502,F
726,1079,502,F
727,1080,502,F
728,1081,502,F
729,1082,502,F
730,1083,502,F
731,1084,502,F
732,1085,502,F
733,1086,502,F
734,1087,502,F
735,1088,502,F
736,1089,502,F
737,1090,502,F
738,1091,502,F
739,1092,502,F
740,1093,502,F
741,1094,502,F
742,1095,502,F
743,1096,502,F
744,1097,502,F
745,1098,502,F
746,1099,502,F
747,1100,502,F
748,1101,502,F
749,1102,502,F
750,1103,502,F
751,1104,502,F
752,1105,502,F
753,1106,502,F
754,1107,502,F
755,1108,502,F
756,1109,502,F
757,1110,502,F
758,1111,502,F
759,1112,502,F
760,1113,502,F
761,1114,502,F
762,1115,502,F
763,1116,502,F
764,1117,502,F
765,1118,502,F
766,1119,502,F
767,1120,502,F
768,1121,502,F
769,1122,502,F
770,1123,502,F
771,1124,502,F
772,1125,502,F
773,1126,502,F
774,1127,502,F
775,1128,502,F
776,1129,502,F
777,1130,502,F
778,1131,502,F
779,1132,502,F
780,1133,502,F
781,1134,502,F
782,1135,502,F
783,1136,502,F
784,1137,502,F
785,1138,502,F
786,1139,502,F
787,1140,502,F
788,1141,502,F
